Date,Name,Year,Letterboxd URI,Rating
2018-12-13,King Kong,2005,https://boxd.it/2aLa,2.5
2018-12-13,The Perfect Storm,2000,https://boxd.it/27n0,3
2018-12-13,Back to the Future,1985,https://boxd.it/2b8e,3.5
2018-12-13,Gladiator,2000,https://boxd.it/2b9m,4
2018-12-13,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,3.5
2018-12-13,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,3
2018-12-13,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,4
2018-12-13,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3.5
2018-12-13,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2018-12-13,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2018-12-13,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2018-12-13,Saving Private Ryan,1998,https://boxd.it/29ro,4
2018-12-13,The Fifth Element,1997,https://boxd.it/71k,3
2018-12-13,Total Recall,1990,https://boxd.it/29qK,2.5
2018-12-13,Armageddon,1998,https://boxd.it/2b9Q,3
2018-12-13,Men in Black,1997,https://boxd.it/2a0I,4
2018-12-13,The Terminator,1984,https://boxd.it/2aQY,3.5
2018-12-13,The NeverEnding Story,1984,https://boxd.it/1dE0,3
2018-12-13,Blade,1998,https://boxd.it/1a8A,3.5
2018-12-13,Scary Movie,2000,https://boxd.it/24CG,3
2018-12-13,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,3
2018-12-13,Gremlins,1984,https://boxd.it/29gg,4.5
2018-12-13,Titanic,1997,https://boxd.it/2a2k,4.5
2018-12-13,The Mask,1994,https://boxd.it/29rS,4
2018-12-13,The Crow,1994,https://boxd.it/1Yxq,5
2018-12-13,From Hell,2001,https://boxd.it/29FK,3.5
2018-12-13,Constantine,2005,https://boxd.it/2a7E,2
2018-12-13,Bram Stoker's Dracula,1992,https://boxd.it/223a,4.5
2018-12-13,Shade,2003,https://boxd.it/1NOq,5
